latest.admissions.admission_rate.overall,latest.cost.tuition.in_state,latest.completion.rate_suppressed.lt_four_year_150percent,latest.completion.rate_suppressed.four_year,latest.completion.rate_suppressed.lt_four_year,latest.completion.rate_suppressed.four_year_200percent,latest.completion.rate_suppressed.four_year_100_pooled,latest.completion.rate_suppressed.lt_four_year_100_pooled,latest.completion.rate_suppressed.consumer.median_by_pred_degree,latest.completion.rate_suppressed.consumer.overall_median,latest.completion.rate_suppressed_pell.lt_four_year_150_pooled,latest.completion.rate_suppressed_pell.four_year_150_pooled,latest.completion.rate_suppressed.overall,school.name,school.city,school.state,school.degrees_awarded.highest,school.ownership,id,location.lat,location.lon
,3906.0,0.4667,,0.4782,,,0.359,0.6654,0.5859,0.4746,,0.4667,Cossatot Community College of the University of Arkansas,De Queen,AR,2,1,106795,34.043389,-94.3673
,16440.0,,0.2876,,0.3509,0.2204,,0.5839,0.5859,,0.2338,0.2876,Crowley's Ridge College,Paragould,AR,3,2,106810,36.064845,-90.584395
,3960.0,0.4312,,0.4569,,,0.3242,0.6654,0.5859,0.3385,,0.4312,East Arkansas Community College,Forrest City,AR,2,1,106883,35.041655,-90.767726
,,0.5673,,0.5789,,,0.0289,0.6654,0.5859,0.5447,,0.5673,Paul Mitchell the School-Little Rock,North Little Rock,AR,1,3,106908,34.789913,-92.222202
,5600.0,0.3091,,0.2954,,,0.2764,0.6654,0.5859,0.2904,,0.3091,National Park College,Hot Springs,AR,2,1,106980,34.512687,-93.119248
,3558.0,0.5881,,0.6468,,,0.5129,0.6654,0.5859,0.5287,,0.5881,University of Arkansas Community College-Batesville,Batesville,AR,2,1,106999,35.792923,-91.615852
1.0,24888.0,,0.7018,,0.7016,0.5386,,0.5839,0.5859,,0.5783,0.7018,Harding University,Searcy,AR,4,2,107044,35.247386,-91.726143
0.8192,7885.0,,0.3869,,0.3729,0.2844,,0.5839,0.5859,,0.344,0.3869,Henderson State University,Arkadelphia,AR,4,1,107071,34.128155,-93.059703
0.5298,36650.0,,0.6889,,0.7031,0.6468,,0.5839,0.5859,,0.6298,0.6889,Hendrix College,Conway,AR,4,2,107080,35.101565,-92.443256
,,0.5714,,0.72,,,,0.6654,0.5859,0.5667,,0.5714,Hot Springs Beauty College,Hot Springs,AR,1,3,107099,34.496057,-93.037277
,,,,,,,,0.3315,0.5859,,,,Jefferson Regional School of Nursing,Pine Bluff,AR,2,2,107123,34.187831,-92.018045
0.6764,30832.0,,0.6898,,0.6982,0.6188,,0.5839,0.5859,,0.6053,0.6898,John Brown University,Siloam Springs,AR,4,2,107141,36.189812,-94.560283
,,0.6724,,0.6007,,,0.1293,0.6654,0.5859,0.672,,0.6724,Career Academy of Hair Design,Springdale,AR,1,3,107220,36.167605,-94.12947
,,0.619,,0.5294,,,,0.6654,0.5859,0.6226,,0.619,Academy of Salon and Spa,Fort Smith,AR,1,3,107293,35.38097,-94.41616
,3048.0,0.4596,,0.3842,,,0.3913,0.6654,0.5859,0.4483,,0.4596,Arkansas State University Mid-South,West Memphis,AR,2,1,107318,35.145736,-90.22285
,2570.0,0.3267,,0.4139,,,0.2384,0.6654,0.5859,0.2958,,0.3267,Arkansas Northeastern College,Blytheville,AR,2,1,107327,35.898597,-89.921005
,,0.5217,,0.6909,,,0.0435,0.6654,0.5859,0.561,,0.5217,New Tyler Barber College Inc,North Little Rock,AR,1,3,107442,34.760085,-92.254171
,3168.0,0.3077,,0.3338,,,0.2023,0.6654,0.5859,0.259,,0.3077,North Arkansas College,Harrison,AR,2,1,107460,36.219909,-93.08844
,5184.0,0.7159,,0.676,,,0.0341,0.6654,0.5859,0.5849,,0.7159,Northwest Technical Institute,Springdale,AR,1,1,107488,36.178032,-94.115346
0.6852,32480.0,,0.679,,0.635,0.6165,,0.5839,0.5859,,0.5788,0.679,Ouachita Baptist University,Arkadelphia,AR,4,2,107512,34.126093,-93.052471
,3568.0,0.3529,,0.3943,,,0.1429,0.6654,0.5859,0.3483,,0.3529,Arkansas State University Three Rivers,Malvern,AR,2,1,107521,34.378745,-92.821416
,3820.0,0.4534,,0.5047,,,0.4148,0.6654,0.5859,0.4735,,0.4534,Ozarka College,Melbourne,AR,2,1,107549,36.053031,-91.896355
0.5814,25950.0,,0.4718,,0.4868,0.3815,,0.5839,0.5859,,0.402,0.4718,University of the Ozarks,Clarksville,AR,3,2,107558,35.476278,-93.467221
1.0,3504.0,0.4112,,0.4125,,,0.283,0.6654,0.5859,0.381,,0.4112,University of Arkansas Community College-Morrilton,Morrilton,AR,2,1,107585,35.172136,-92.728507
,13014.0,,0.3146,,0.3179,0.1755,,0.5839,0.5859,,0.3072,0.3146,Philander Smith University,Little Rock,AR,3,2,107600,34.737131,-92.283015
,3230.0,0.487,,0.5361,,,0.3346,0.6654,0.5859,0.4389,,0.487,Phillips Community College of the University of Arkansas,Helena,AR,2,1,107619,34.546155,-90.616884
,4960.0,0.2163,,0.3033,,,0.149,0.6654,0.5859,0.1579,,0.2163,Southeast Arkansas College,Pine Bluff,AR,2,1,107637,34.210309,-92.025936
,,0.4103,,0.6,,,0.0769,0.6654,0.5859,0.4516,,0.4103,University of Aesthetics & Cosmetology,El Dorado,AR,1,3,107655,33.216032,-92.664101
,4848.0,0.2747,,0.2769,,,0.1453,0.6654,0.5859,0.2334,,0.2747,University of Arkansas-Pulaski Technical College,North Little Rock,AR,2,1,107664,34.782783,-92.299184
,3400.0,0.4503,,0.4672,,,0.3378,0.6654,0.5859,0.4225,,0.4503,University of Arkansas Hope-Texarkana,Hope,AR,2,1,107725,33.641665,-93.596762
,3528.0,0.5889,,0.5825,,,0.5024,0.6654,0.5859,0.5926,,0.5889,University of Arkansas Community College Rich Mountain,Mena,AR,2,1,107743,34.591449,-94.219799
